timestamp,accX,accY,accZ,ppg,spO2
2025-12-10 17:20:21.960,2042.0,-1652.0,-1889.0,1086.0,
2025-12-10 17:20:21.980,2041.3877551020407,-1611.061224489796,-1845.061224489796,1168.5306122448978,
2025-12-10 17:20:22.000,2040.7755102040817,-1570.1224489795918,-1801.1224489795918,1251.061224489796,
2025-12-10 17:20:22.020,2040.1632653061224,-1529.1836734693877,-1757.1836734693877,1333.591836734694,
2025-12-10 17:20:22.040,2039.5510204081634,-1488.2448979591836,-1713.2448979591836,1416.1224489795918,
2025-12-10 17:20:22.060,2038.938775510204,-1447.3061224489795,-1669.3061224489795,1498.6530612244896,
2025-12-10 17:20:22.080,2038.3265306122448,-1406.3673469387754,-1625.3673469387754,1581.1836734693877,
2025-12-10 17:20:22.100,2037.7142857142858,-1365.4285714285716,-1581.4285714285716,1663.7142857142858,
2025-12-10 17:20:22.120,2037.1020408163265,-1324.4897959183672,-1537.4897959183672,1746.2448979591836,
2025-12-10 17:20:22.140,2036.4897959183672,-1283.5510204081634,-1493.5510204081634,1828.7755102040815,
2025-12-10 17:20:22.160,2035.8775510204082,-1242.612244897959,-1449.612244897959,1911.3061224489795,
2025-12-10 17:20:22.180,2035.265306122449,-1201.6734693877552,-1405.6734693877552,1993.8367346938776,
2025-12-10 17:20:22.200,2034.6530612244899,-1160.734693877551,-1361.734693877551,2076.3673469387754,
2025-12-10 17:20:22.220,2034.0408163265306,-1119.795918367347,-1317.795918367347,2158.8979591836733,
2025-12-10 17:20:22.240,2033.4285714285713,-1078.857142857143,-1273.857142857143,2241.4285714285716,
2025-12-10 17:20:22.260,2032.8163265306123,-1037.9183673469388,-1229.9183673469388,2323.9591836734694,
2025-12-10 17:20:22.280,2032.204081632653,-996.9795918367347,-1185.9795918367347,2406.4897959183672,
2025-12-10 17:20:22.300,2031.591836734694,-956.0408163265306,-1142.0408163265306,2489.020408163265,
2025-12-10 17:20:22.320,2030.9795918367347,-915.1020408163265,-1098.1020408163265,2571.551020408163,
2025-12-10 17:20:22.340,2030.3673469387754,-874.1632653061224,-1054.1632653061224,2654.081632653061,
2025-12-10 17:20:22.360,2029.7551020408164,-833.2244897959183,-1010.2244897959183,2736.612244897959,
2025-12-10 17:20:22.380,2029.142857142857,-792.2857142857143,-966.2857142857143,2819.142857142857,
2025-12-10 17:20:22.400,2028.530612244898,-751.3469387755102,-922.3469387755102,2901.673469387755,
